Device Label,Sensor Label,Value,Units,Time
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","215.00","V","1/8/2025, 12:00:00 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:00:47 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/8/2025, 12:03:48 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:06:49 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/8/2025, 12:09:50 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/8/2025, 12:12:50 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","219.00","V","1/8/2025, 12:15:51 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:18:52 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/8/2025, 12:21:53 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/8/2025, 12:24:54 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:27:54 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:30:53 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:33:52 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:36:52 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:39:53 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:42:53 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","215.00","V","1/8/2025, 12:45:54 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:48:54 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/8/2025, 12:51:55 a. m."
