Device Label,Sensor Label,Value,Units,Time
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 12:00:00 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:00:47 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:03:47 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:06:47 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 12:09:47 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:12:48 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 12:15:48 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:18:49 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 12:21:50 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 12:24:51 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 12:27:51 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:30:50 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:33:49 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 12:36:50 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 12:39:49 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:42:49 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:45:49 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:48:48 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:51:48 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 12:54:47 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 12:57:47 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 1:00:47 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 1:03:46 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 1:06:45 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 1:09:46 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 1:12:45 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/5/2025, 1:15:45 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 1:18:44 a. m."
"RECT 01 - IDEO CALI - (10.170.203.6)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/5/2025, 1:21:44 a. m."
