Device Label,Sensor Label,Value,Units,Time
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 12:00:00 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 12:01:22 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 12:04:23 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","215.00","V","1/7/2025, 12:07:22 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 12:10:22 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 12:13:21 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 12:16:20 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 12:19:19 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 12:22:18 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 12:25:17 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","215.00","V","1/7/2025, 12:28:16 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","215.00","V","1/7/2025, 12:31:15 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 12:34:14 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 12:37:14 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 12:40:14 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/7/2025, 12:43:13 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 12:46:13 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 12:49:14 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 12:52:14 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/7/2025, 12:55:13 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 12:58:12 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 1:01:11 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/7/2025, 1:04:12 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 1:07:12 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 1:10:11 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 1:13:10 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 1:16:10 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/7/2025, 1:19:10 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 1:22:11 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/7/2025, 1:25:11 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/7/2025, 1:28:11 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 1:31:11 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 1:34:12 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 1:37:11 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","217.00","V","1/7/2025, 1:40:11 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/7/2025, 1:43:12 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","218.00","V","1/7/2025, 1:46:13 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 1:49:12 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","215.00","V","1/7/2025, 1:52:11 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","215.00","V","1/7/2025, 1:55:10 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 1:58:09 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 2:01:08 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 2:04:09 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 2:07:08 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 2:10:07 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","215.00","V","1/7/2025, 2:13:06 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","216.00","V","1/7/2025, 2:16:07 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","01 - VOLTAJE AC DEL SISTEMA","215.00","V","1/7/2025, 2:19:06 a. m."
