Device Label,Sensor Label,Value,Units,Time
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:00:00 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:00:31 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 12:03:30 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:06:30 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","158.00","A","1/12/2025, 12:09:31 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 12:12:32 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:15:33 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","158.00","A","1/12/2025, 12:18:32 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 12:21:33 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:24:32 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:27:32 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 12:30:33 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 12:33:33 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 12:36:32 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:39:31 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:42:30 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:45:31 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:48:30 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:51:31 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 12:54:30 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","158.00","A","1/12/2025, 12:57:31 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 1:00:31 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 1:03:32 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 1:06:31 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 1:09:30 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 1:12:29 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","155.00","A","1/12/2025, 1:15:29 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 1:18:28 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 1:21:27 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 1:24:26 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 1:27:25 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 1:30:25 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 1:33:25 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 1:36:26 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 1:39:27 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","190.00","A","1/12/2025, 1:42:26 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/12/2025, 1:45:26 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 1:48:26 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/12/2025, 1:51:26 a. m."
