Device Label,Sensor Label,Value,Units,Time
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 12:00:00 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 12:00:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 12:03:44 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 12:06:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 12:09:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 12:12:46 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 12:15:47 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 12:18:47 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 12:21:47 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 12:24:46 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 12:27:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 12:30:44 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 12:33:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 12:36:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 12:39:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 12:42:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 12:45:46 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 12:48:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 12:51:44 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 12:54:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 12:57:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 1:00:44 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 1:03:45 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 1:06:44 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 1:09:44 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 1:12:44 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 1:15:43 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 1:18:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 1:21:43 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 1:24:43 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 1:27:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 1:30:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 1:33:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 1:36:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 1:39:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 1:42:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 1:45:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 1:48:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 1:51:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 1:54:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 1:57:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 2:00:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 2:03:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 2:06:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 2:09:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 2:12:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 2:15:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 2:18:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 2:21:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 2:24:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 2:27:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 2:30:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 2:33:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 2:36:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 2:39:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 2:42:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 2:45:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 2:48:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 2:51:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 2:54:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 2:57:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 3:00:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 3:03:43 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 3:06:42 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 3:09:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 3:12:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 3:15:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 3:18:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 3:21:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 3:24:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 3:27:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 3:30:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 3:33:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 3:36:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 3:39:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 3:42:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 3:45:38 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 3:48:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 3:51:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 3:54:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 3:57:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 4:00:41 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 4:03:40 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 4:06:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 4:09:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 4:12:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 4:15:38 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 4:18:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 4:21:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 4:24:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 4:27:38 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 4:30:37 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 4:33:37 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 4:36:37 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 4:39:36 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 4:42:36 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 4:45:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 4:48:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 4:51:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 4:54:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 4:57:36 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 5:00:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 5:03:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 5:06:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 5:09:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 5:12:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 5:15:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 5:18:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 5:21:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 5:24:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","23.00","° C","1/1/2025, 5:27:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 5:30:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 5:33:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 5:36:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 5:39:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 5:42:33 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 5:45:33 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","21.50","° C","1/1/2025, 5:48:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 5:51:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 5:54:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 5:57:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 6:00:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","21.50","° C","1/1/2025, 6:03:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 6:06:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 6:09:33 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 6:12:32 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 6:15:33 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 6:18:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","21.50","° C","1/1/2025, 6:21:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 6:24:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 6:27:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 6:30:34 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 6:33:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 6:36:36 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","21.50","° C","1/1/2025, 6:39:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 6:42:36 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 6:45:37 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 6:48:36 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 6:51:36 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 6:54:36 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","21.50","° C","1/1/2025, 6:57:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 7:00:36 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 7:03:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 7:06:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 7:09:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 7:12:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","21.50","° C","1/1/2025, 7:15:35 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","21.50","° C","1/1/2025, 7:18:36 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 7:21:37 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 7:24:38 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 7:27:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 7:30:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","21.50","° C","1/1/2025, 7:33:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 7:36:38 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 7:39:39 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 7:42:38 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.50","° C","1/1/2025, 7:45:38 a. m."
"TABLERO - IDEO CALI - (10.170.203.2)","ANALOG INPUT - °C SALA S01","22.00","° C","1/1/2025, 7:48:38 a. m."
