Device Label,Sensor Label,Value,Units,Time
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","157.00","A","1/10/2025, 12:00:00 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","158.00","A","1/10/2025, 12:00:34 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","159.00","A","1/10/2025, 12:03:34 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","158.00","A","1/10/2025, 12:06:35 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","158.00","A","1/10/2025, 12:09:34 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","157.00","A","1/10/2025, 12:12:35 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","156.00","A","1/10/2025, 12:15:35 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","157.00","A","1/10/2025, 12:18:36 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","157.00","A","1/10/2025, 12:21:36 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","157.00","A","1/10/2025, 12:24:35 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","157.00","A","1/10/2025, 12:27:35 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","158.00","A","1/10/2025, 12:30:35 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","158.00","A","1/10/2025, 12:33:36 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","11 - CORRIENTE DC DE LA CARGA","158.00","A","1/10/2025, 12:36:35 a. m."
