Device Label,Sensor Label,Value,Units,Time
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:00:00 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 12:00:01 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:03:01 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:06:01 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 12:09:01 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:12:02 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 12:15:03 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:18:04 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:21:05 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:24:06 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 12:27:05 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 12:30:05 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 12:33:04 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 12:36:03 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:39:04 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:42:04 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 12:45:04 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:48:04 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:51:03 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 12:54:03 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 12:57:04 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 1:00:05 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.55","V","1/3/2025, 1:03:06 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","02 - VOLTAJE DC DEL SISTEMA","54.47","V","1/3/2025, 1:06:07 a. m."
