Device Label,Sensor Label,Value,Units,Time
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/9/2025, 12:00:00 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","159.00","A","1/9/2025, 12:00:53 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","159.00","A","1/9/2025, 12:03:53 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/9/2025, 12:06:52 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/9/2025, 12:09:51 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","156.00","A","1/9/2025, 12:12:51 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/9/2025, 12:15:52 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","160.00","A","1/9/2025, 12:18:51 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/9/2025, 12:21:50 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/9/2025, 12:24:50 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","155.00","A","1/9/2025, 12:27:49 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","158.00","A","1/9/2025, 12:30:50 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","159.00","A","1/9/2025, 12:33:50 a. m."
"RECT 02 - IDEO CALI - (10.170.203.7)","03 - CORRIENTE DC DEL SISTEMA","157.00","A","1/9/2025, 12:36:49 a. m."
