Device Label,Sensor Label,Value,Units,Time
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","215.0","V","1/5/2025, 12:00:00 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","215.0","V","1/5/2025, 12:01:31 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","216.0","V","1/5/2025, 12:04:32 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","214.0","V","1/5/2025, 12:07:31 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","216.0","V","1/5/2025, 12:10:30 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","215.0","V","1/5/2025, 12:13:31 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","215.0","V","1/5/2025, 12:16:31 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","215.0","V","1/5/2025, 12:19:30 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","215.0","V","1/5/2025, 12:22:30 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","215.0","V","1/5/2025, 12:25:30 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","217.0","V","1/5/2025, 12:28:29 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","216.0","V","1/5/2025, 12:31:28 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","216.0","V","1/5/2025, 12:34:27 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","215.0","V","1/5/2025, 12:37:27 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","214.0","V","1/5/2025, 12:40:28 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","215.0","V","1/5/2025, 12:43:29 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","215.0","V","1/5/2025, 12:46:28 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","216.0","V","1/5/2025, 12:49:27 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","216.0","V","1/5/2025, 12:52:26 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","216.0","V","1/5/2025, 12:55:27 a. m."
"TR - IDEO CALI","02 - VOLTAJE AC DEL SISTEMA L2-L3","216.0","V","1/5/2025, 12:58:28 a. m."
