Device Label,Sensor Label,Value,Units,Time
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","65.0","A","1/4/2025, 12:00:00 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 12:02:02 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 12:05:01 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 12:08:01 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 12:11:00 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","58.0","A","1/4/2025, 12:14:01 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","66.0","A","1/4/2025, 12:17:00 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","65.0","A","1/4/2025, 12:19:59 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 12:22:58 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 12:25:59 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 12:28:58 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 12:31:59 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","58.0","A","1/4/2025, 12:34:58 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","66.0","A","1/4/2025, 12:37:58 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","65.0","A","1/4/2025, 12:40:59 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","65.0","A","1/4/2025, 12:44:00 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","56.0","A","1/4/2025, 12:47:01 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 12:50:02 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 12:53:02 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","58.0","A","1/4/2025, 12:56:02 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","66.0","A","1/4/2025, 12:59:03 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","65.0","A","1/4/2025, 1:02:02 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","65.0","A","1/4/2025, 1:05:03 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 1:08:02 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 1:11:02 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","58.0","A","1/4/2025, 1:14:02 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 1:17:03 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","66.0","A","1/4/2025, 1:20:02 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","65.0","A","1/4/2025, 1:23:02 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","65.0","A","1/4/2025, 1:26:01 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","58.0","A","1/4/2025, 1:29:01 a. m."
"TR - IDEO CALI","13 - CORRIENTE AC DE LA CARGA L3","57.0","A","1/4/2025, 1:32:00 a. m."
