Device Label,Sensor Label,Value,Units,Time
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:00:00 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:01:59 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:05:00 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:08:01 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","25.0","kVA","1/1/2025, 12:11:02 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 12:14:03 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:17:03 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:20:02 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:23:03 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:26:03 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","25.0","kVA","1/1/2025, 12:29:04 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 12:32:04 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:35:05 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:38:05 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:41:04 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:44:04 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","25.0","kVA","1/1/2025, 12:47:04 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","25.0","kVA","1/1/2025, 12:50:03 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:53:02 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:56:02 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 12:59:01 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:02:00 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","25.0","kVA","1/1/2025, 1:05:00 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 1:08:01 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:11:01 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","21.0","kVA","1/1/2025, 1:14:02 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:17:02 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:20:03 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","25.0","kVA","1/1/2025, 1:23:04 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 1:26:05 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:29:05 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:32:05 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:35:06 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:38:07 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 1:41:06 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 1:44:06 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:47:07 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:50:07 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:53:06 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 1:56:07 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","Unplugged","kVA","1/1/2025, 1:59:07 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 2:02:08 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 2:05:07 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","Unplugged","kVA","1/1/2025, 2:08:08 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 2:11:09 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","Unplugged","kVA","1/1/2025, 2:14:08 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 2:17:09 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 2:20:10 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 2:23:10 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","21.0","kVA","1/1/2025, 2:26:10 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 2:29:10 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 2:32:11 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 2:35:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 2:38:11 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 2:41:11 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 2:44:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 2:47:11 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 2:50:10 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 2:53:09 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","25.0","kVA","1/1/2025, 2:56:10 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 2:59:11 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:02:11 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:05:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:08:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:11:11 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","25.0","kVA","1/1/2025, 3:14:11 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 3:17:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:20:13 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:23:13 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:26:13 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:29:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 3:32:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 3:35:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 3:38:13 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:41:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:44:11 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:47:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","22.0","kVA","1/1/2025, 3:50:12 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","Unplugged","kVA","1/1/2025, 3:53:11 a. m."
"TR - IDEO CALI","16 - POTENCIA APARENTE DE LA CARGA","24.0","kVA","1/1/2025, 3:56:10 a. m."
